monster,name,flavor,phase,phase[style:fill],phaseColor[style:fill],cost,eatenText,eatenColor[style:fill],specialText,fang?,claw?,ditgp?,dit,lingersgp?,lingers,mvt-?-value,mvtgp-?
44,Vampire,"Ah, 1742, an excellent year, you can taste the white blood cells from the plague.",4,#da8787,#da8787,700 pts,Permanent,#ffffff,     ,y,n,n,N/A,y,1,6,cxd
45,Vampire,"Ah, 1742, an excellent year, you can taste the white blood cells from the plague.",4,#da8787,#da8787,700 pts,Permanent,#ffffff,     ,y,n,n,N/A,y,1,6,cxd
46,Vampire,"Ah, 1742, an excellent year, you can taste the white blood cells from the plague.",4,#da8787,#da8787,700 pts,Permanent,#ffffff,     ,y,n,n,N/A,y,1,6,cxd
47,The Headless Duke,,5,#e6e6e6,#e6e6e6,950 pts,Permanent,#ffffff,Can move through token blocked cities,n,n,y,10 pts,n,0,6,cxd
48,"Groustfrat, the Necromancer",,5,#e6e6e6,#e6e6e6,950 pts,Permanent,#ffffff,Functions as 4 skeletons,n,n,n,N/A,n,0,N/A,
49,Doctor Frankenstein,"No, he's my monster, I'm Frankenstein, you halfwit!",5,#e6e6e6,#e6e6e6,950 pts,Permanent,#ffffff,Does not require a token on route.,n,n,y,10 pts,n,0,5,cxd
50,Count Vlad,,5,#e6e6e6,#e6e6e6,1050 pts,Permanent,#ffffff,Can jump once between two tokens belonging to the employer during the route,y,n,n,N/A,y,1,7,cxd
51,Count Dracula,,5,#e6e6e6,#e6e6e6,1200 pts,Permanent,#ffffff,Can use Dracula's Moving Castle as a token,y,n,n,N/A,y,2,Inf.,cxd
52,Duke Lupin,,5,#e6e6e6,#e6e6e6,1200 pts,Permanent,#ffffff,Can visit all cities with front’s tokens and all immediately adjacent open routes. Does not prevent route being covered by another monster.,n,y,y,20 pts,n,0,N/A,
53,Master Assassin,,5,#e6e6e6,#e6e6e6,1250 pts,Permanent,#ffffff,Costs 900 if trading Assassin,n,n,y,20 pts,n,0,Inf.,cxd
54,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
55,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
56,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
57,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
58,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
59,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
60,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
61,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
62,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
63,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
64,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
65,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
66,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
67,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
68,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
69,Werewolf Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Werewolf,n,y,y,20 pts,n,0,10,cd
70,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
71,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
72,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
73,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
74,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
75,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
76,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
77,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
78,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
79,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
80,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
81,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
82,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
83,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
84,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
85,Vampire Lord,,5,#e6e6e6,#e6e6e6,1100 pts,Permanent,#ffffff,Costs 800 if trading in Vampire,y,n,n,N/A,y,2,Inf.,cxd
